sample	samples	cg02855142	cg06587969	cg05479194	cg18311066	cg21050342	cg02045224	cg15206330	cg13169780	cg02166782	cg17461511	cg26539663	cg12373934	cg25896754	cg14351634	cg16203911	cg00807143	cg05348746	cg04009932	cg02690969	cg22175811	cg08119584	cg02842899	cg07991600	cg25053252	cg06317056	cg06365412	cg13468400	cg12041075	cg18198734	cg02087342	cg10792831	cg16397722	cg22949073
TCGA-KN-8423-01	TCGA-KN-8423-01	0.03327	0.03477	0.03515	0.02212	0.03118	0.03291	0.02989	0.04123	0.04333	0.0215	0.1045	0.05755	0.02625	0.01975	0.02834	0.0871	0.03384	0.04066	0.03269	0.1081	0.05374	0.02836	0.03416	0.02943	0.03053	0.8807	0.8764	0.8573	0.9057	0.9207	0.9456	0.929	0.9055
TCGA-BB-A5HY-01	TCGA-BB-A5HY-01	0.03326	0.03687	0.05667	0.02035	0.02647	0.02904	0.02982	0.03147	0.05134	0.02176	0.07749	0.04612	0.02864	0.0166	0.02231	0.055	0.02222	0.03808	0.01837	0.04089	0.03906	0.02498	0.03533	0.02296	0.02619	0.8371	0.7872	0.7761	0.8219	0.7803	0.9389	0.9232	0.5673
TCGA-HT-7690-01	TCGA-HT-7690-01	0.03326	0.03508	0.03865	0.01722	0.02753	0.06915	0.04029	0.0423	0.05275	0.01978	0.1011	0.04542	0.02956	0.01833	0.03007	0.05874	0.02968	0.05054	0.03324	0.03235	0.02782	0.03031	0.02068	0.02457	0.03601	0.8642	0.8359	0.8174	0.8428	0.9434	0.9625	0.9436	0.7598
TCGA-ZJ-AAX4-01	TCGA-ZJ-AAX4-01	0.03326	0.02865	0.02494	0.02224	0.02036	0.01924	0.04344	0.05805	0.03917	0.02378	0.06771	0.03534	0.02474	0.02398	0.02368	0.05133	0.02264	0.02674	0.02733	0.02721	0.04562	0.02148	0.0242	0.02038	0.03378	0.7979	0.7897	0.6118	0.6689	0.5541	0.902	0.9034	0.3003
TCGA-FU-A2QG-01	TCGA-FU-A2QG-01	0.03326	0.02685	0.03252	0.01871	0.02632	0.02462	0.03127	0.04763	0.05652	0.02551	0.1082	0.05746	0.02926	0.01749	0.02747	0.08936	0.03014	0.03912	0.02039	0.03729	0.03855	0.03125	0.07096	0.02472	0.02722	0.8644	0.8339	0.8462	0.9095	0.8998	0.9602	0.9621	0.6771
TCGA-A6-5660-01	TCGA-A6-5660-01	0.03325	0.04251	0.0333	0.02642	0.03473	0.02297	0.05711	0.04682	0.08667	0.02898	0.05627	0.05334	0.038	0.0186	0.02533	0.06707	0.02397	0.0465	0.01913	0.04301	0.05976	0.03084	0.0717	0.02086	0.03183	0.8837	0.8469	0.8538	0.9238	0.8638	0.9513	0.956	0.845
TCGA-85-8352-01	TCGA-85-8352-01	0.03325	0.03531	0.06529	0.0189	0.03136	0.05402	0.03851	0.03631	0.06179	0.01844	0.1317	0.04576	0.02351	0.01778	0.02317	0.1147	0.04755	0.06799	0.03039	0.05437	0.04761	0.02969	0.07483	0.0225	0.0277	0.8298	0.7177	0.6441	0.6792	0.5591	0.9416	0.945	0.5577
TCGA-DE-A0Y3-01	TCGA-DE-A0Y3-01	0.03324	0.04076	0.06087	0.02342	0.03205	0.02253	0.03409	0.03838	0.05301	0.02084	0.08355	0.05278	0.02929	0.02005	0.02547	0.07779	0.0328	0.03916	0.02455	0.06583	0.04051	0.02644	0.02976	0.02393	0.02705	0.8745	0.8984	0.8964	0.9308	0.6376	0.9378	0.9423	0.9268
TCGA-HC-7080-01	TCGA-HC-7080-01	0.03324	0.03982	0.04019	0.02347	0.02457	0.02583	0.04518	0.04922	0.0447	0.02153	0.07697	0.03524	0.02149	0.01631	0.02771	0.05859	0.02451	0.04049	0.01597	0.04051	0.04042	0.02537	0.01717	0.0134	0.02535	0.8755	0.85	0.7421	0.8654	0.8458	0.9504	0.9548	0.559
TCGA-CN-6011-01	TCGA-CN-6011-01	0.03324	0.02846	0.03949	0.0243	0.02325	0.02884	0.04809	0.02966	0.05957	0.01922	0.1268	0.05318	0.02812	0.01772	0.02755	0.112	0.02825	0.04871	0.02138	0.04698	0.05211	0.02709	0.08698	0.01862	0.027	0.8998	0.8234	0.833	0.8931	0.8107	0.9509	0.9403	0.7346
TCGA-CS-6667-01	TCGA-CS-6667-01	0.03323	0.03946	0.03455	0.01808	0.02324	0.03238	0.03013	0.03368	0.04219	0.01726	0.1253	0.04227	0.0212	0.01162	0.02601	0.07312	0.02427	0.05216	0.02136	0.03544	0.03661	0.02815	0.0241	0.01731	0.02242	0.818	0.8237	0.8458	0.8333	0.555	0.9667	0.9571	0.8385
TCGA-VQ-A8E3-01	TCGA-VQ-A8E3-01	0.03323	0.03678	0.03714	0.02426	0.0198	0.03423	0.04781	0.03046	0.0409	0.02426	0.1577	0.03213	0.02294	0.01796	0.02259	0.06501	0.02889	0.04062	0.01908	0.03155	0.02659	0.02184	0.02779	0.02368	0.03166	0.8439	0.8591	0.8398	0.9113	0.9355	0.9317	0.943	0.86
TCGA-W3-AA1Q-06	TCGA-W3-AA1Q-06	0.03323	0.03217	0.0276	0.01849	0.02151	0.02622	0.03925	0.04054	0.03354	0.02039	0.1179	0.03939	0.01907	0.01414	0.01832	0.04811	0.02387	0.02943	0.01867	0.03703	0.02778	0.0226	0.0207	0.01784	0.02614	0.8533	0.8291	0.8118	0.8838	0.8344	0.944	0.9408	0.8948
TCGA-DJ-A3UP-01	TCGA-DJ-A3UP-01	0.03323	0.02663	0.02387	0.01775	0.02168	0.04612	0.0384	0.03381	0.0499	0.02265	0.08016	0.0436	0.02339	0.01778	0.0263	0.06476	0.02492	0.03547	0.01965	0.02285	0.02831	0.02612	0.02109	0.02586	0.02274	0.907	0.8465	0.8433	0.9244	0.9211	0.9528	0.9437	0.9339
TCGA-CG-5724-01	TCGA-CG-5724-01	0.03322	0.04288	0.03536	0.02819	0.03181	0.03873	0.04086	0.04395	0.05654	0.028	0.1585	0.04817	0.02644	0.03969	0.04655	0.04949	0.0573	0.03936	0.04766	0.07854	0.1206	0.02797	0.05231	0.03024	0.03119	0.6357	0.8102	0.368	0.3574	0.3331	0.6919	0.9152	0.6346
TCGA-D3-A8GK-06	TCGA-D3-A8GK-06	0.03322	0.0346	0.06763	0.01742	0.02639	0.01686	0.046	0.04837	0.04963	0.02105	0.04881	0.04709	0.02716	0.02037	0.02904	0.06153	0.03121	0.05027	0.02186	0.03319	0.0467	0.02811	0.1002	0.01679	0.02878	0.8443	0.6892	0.4303	0.5273	0.6492	0.9179	0.9294	0.8129
TCGA-FE-A236-01	TCGA-FE-A236-01	0.03322	0.03452	0.06271	0.01794	0.02386	0.04287	0.04686	0.03308	0.05398	0.01692	0.1414	0.0466	0.02351	0.01601	0.02369	0.08289	0.02787	0.04462	0.02097	0.0384	0.0433	0.02579	0.03735	0.02041	0.0279	0.8727	0.8521	0.8472	0.9124	0.6692	0.9627	0.9541	0.8301
TCGA-KN-8434-01	TCGA-KN-8434-01	0.03322	0.03337	0.03214	0.01949	0.02956	0.03739	0.03647	0.03884	0.04247	0.02878	0.1166	0.05017	0.02881	0.01701	0.03307	0.06544	0.03555	0.03289	0.0301	0.03808	0.04655	0.04083	0.0364	0.03132	0.03821	0.8795	0.9073	0.8622	0.8909	0.9418	0.9643	0.9522	0.4092
TCGA-E7-A3Y1-01	TCGA-E7-A3Y1-01	0.03322	0.03254	0.03693	0.02179	0.02835	0.04483	0.04152	0.04389	0.05093	0.0194	0.132	0.06128	0.02451	0.01938	0.03025	0.06437	0.0312	0.03817	0.0265	0.03609	0.03118	0.03327	0.02022	0.02297	0.03403	0.7832	0.7777	0.8342	0.6519	0.7851	0.8751	0.9445	0.2377
TCGA-EM-A3OA-01	TCGA-EM-A3OA-01	0.03322	0.02634	0.02784	0.02284	0.0272	0.03424	0.03397	0.03836	0.04571	0.02661	0.1454	0.04403	0.02349	0.02469	0.02762	0.06369	0.03223	0.03456	0.02581	0.02914	0.02707	0.02701	0.02272	0.02845	0.03847	0.8662	0.8682	0.8547	0.9212	0.7573	0.9519	0.9458	0.8885
TCGA-FR-A3YN-06	TCGA-FR-A3YN-06	0.03321	0.0314	0.03051	0.02615	0.04266	0.03571	0.04482	0.04409	0.05201	0.02493	0.09097	0.06148	0.0296	0.02029	0.03252	0.05787	0.03372	0.04017	0.02785	0.04009	0.02938	0.03404	0.01987	0.02099	0.0329	0.9101	0.8577	0.4924	0.5597	0.8334	0.8522	0.9349	0.8945
TCGA-BG-A0MH-01	TCGA-BG-A0MH-01	0.03321	0.02636	0.02449	0.01853	0.02127	0.06742	0.03389	0.04666	0.03629	0.03358	0.09565	0.07061	0.02125	0.02334	0.02908	0.04621	0.03412	0.04197	0.03692	0.03724	0.02796	0.03958	0.02337	0.03031	0.05271	0.8166	0.81	0.8001	0.837	0.8627	0.9472	0.9267	0.853
TCGA-OL-A5RX-01	TCGA-OL-A5RX-01	0.0332	0.03793	0.02555	0.02884	0.03093	0.02626	0.03619	0.04029	0.04855	0.02334	0.1129	0.0484	0.02712	0.01951	0.02641	0.09356	0.03454	0.04123	0.02703	0.07557	0.05199	0.02629	0.0503	0.02306	0.03722	0.8576	0.7979	0.6993	0.7273	0.779	0.8985	0.9255	0.8619
TCGA-EM-A2OY-01	TCGA-EM-A2OY-01	0.0332	0.03539	0.05194	0.01812	0.01973	0.03977	0.04525	0.02884	0.03863	0.0161	0.1478	0.04451	0.03132	0.01491	0.01743	0.0837	0.02745	0.05051	0.01672	0.04267	0.04336	0.03068	0.08965	0.01643	0.0261	0.8528	0.8501	0.8506	0.927	0.9349	0.9553	0.9382	0.9343
TCGA-IB-A7LX-01	TCGA-IB-A7LX-01	0.03319	0.0392	0.02913	0.02025	0.03694	0.0193	0.07066	0.06451	0.06379	0.02634	0.03715	0.04827	0.03991	0.01886	0.02969	0.05585	0.03749	0.03247	0.03063	0.04397	0.03691	0.03063	0.03845	0.02486	0.02761	0.8535	0.7177	0.7983	0.8457	0.6145	0.9439	0.9444	0.8562
TCGA-E2-A105-01	TCGA-E2-A105-01	0.03319	0.03665	0.0269	0.02412	0.02411	0.02504	0.02953	0.2538	0.0605	0.05289	0.05522	0.07886	0.02646	0.02689	0.04774	0.07483	0.04427	0.04682	0.04179	0.04135	0.03889	0.04622	0.02359	0.03093	0.05465	0.9179	0.9086	0.9142	0.8367	0.799	0.9541	0.9521	0.759
TCGA-EJ-A65M-01	TCGA-EJ-A65M-01	0.03319	0.03381	0.03359	0.02809	0.02735	0.02344	0.0472	0.02482	0.06932	0.02303	0.1536	0.04046	0.0258	0.01943	0.02265	0.05909	0.0264	0.04526	0.0245	0.02842	0.03323	0.02844	0.02137	0.02047	0.0368	0.8786	0.7992	0.8162	0.8306	0.6588	0.9163	0.9429	0.7041
TCGA-A4-8517-01	TCGA-A4-8517-01	0.03318	0.03672	0.03404	0.02214	0.03803	0.03876	0.04363	0.04965	0.05802	0.02322	0.07945	0.03693	0.02325	0.02143	0.02056	0.06071	0.02405	0.04048	0.02053	0.02245	0.02799	0.02695	0.01913	0.02005	0.03057	0.8167	0.8229	0.8364	0.8918	0.9195	0.948	0.9323	0.908
TCGA-2F-A9KW-01	TCGA-2F-A9KW-01	0.03318	0.03627	0.03268	0.02683	0.02516	0.02417	0.04923	0.0445	0.04374	0.02106	0.09789	0.05043	0.02093	0.0184	0.02399	0.06526	0.02611	0.02976	0.01943	0.03515	0.04049	0.01899	0.02721	0.01699	0.02246	0.8056	0.7958	0.7654	0.8623	0.8579	0.893	0.9448	0.8642
TCGA-BQ-7053-01	TCGA-BQ-7053-01	0.03318	0.0326	0.04906	0.02272	0.02628	0.03468	0.02666	0.04719	0.04513	0.01671	0.1025	0.05066	0.02091	0.01426	0.02559	0.07963	0.02538	0.03533	0.02162	0.04539	0.04468	0.02211	0.02997	0.01673	0.02707	0.8747	0.8471	0.8505	0.9231	0.8583	0.9634	0.9494	0.9181
TCGA-D8-A1JA-01	TCGA-D8-A1JA-01	0.03318	0.03099	0.02361	0.02198	0.01606	0.01198	0.03581	0.0435	0.03291	0.0309	0.0456	0.05311	0.01966	0.01922	0.02485	0.04498	0.03029	0.03949	0.03215	0.04066	0.05545	0.02864	0.02367	0.0322	0.05513	0.8726	0.9164	0.6893	0.6541	0.8736	0.9485	0.9454	0.82
TCGA-B5-A3FC-01	TCGA-B5-A3FC-01	0.03318	0.03086	0.02948	0.02303	0.0255	0.02822	0.05142	0.03877	0.04188	0.0214	0.1329	0.04138	0.03364	0.0216	0.02514	0.05217	0.02971	0.03193	0.0221	0.02918	0.02919	0.02939	0.02527	0.02658	0.03115	0.8987	0.8163	0.8318	0.8321	0.89	0.9181	0.9553	0.8547
TCGA-CJ-4920-01	TCGA-CJ-4920-01	0.03318	0.02835	0.02684	0.0168	0.02249	0.01595	0.03195	0.1309	0.04501	0.02015	0.02866	0.03929	0.02172	0.013	0.02396	0.06121	0.01996	0.04508	0.02089	0.05123	0.03517	0.02073	0.01962	0.01689	0.02595	0.8487	0.8657	0.8604	0.8142	0.7712	0.959	0.9593	0.8873
TCGA-CJ-6027-01	TCGA-CJ-6027-01	0.03318	0.02603	0.04835	0.02285	0.03832	0.02862	0.05378	0.03455	0.06217	0.02548	0.1418	0.06477	0.02579	0.0191	0.02844	0.06788	0.03154	0.04164	0.0256	0.04928	0.05333	0.02955	0.05477	0.02458	0.03087	0.8591	0.8592	0.8175	0.8726	0.8833	0.9499	0.959	0.8557
TCGA-AB-2939-03	TCGA-AB-2939-03	0.03317	0.03668	0.02054	0.01764	0.02259	0.02445	0.0364	0.03463	0.05383	0.01936	0.123	0.04187	0.02379	0.01206	0.02183	0.0574	0.02705	0.03958	0.01952	0.03488	0.02686	0.0261	0.0211	0.02128	0.02543	0.8902	0.872	0.8422	0.9382	0.9409	0.9612	0.9486	0.9403
TCGA-DD-A1EL-11	TCGA-DD-A1EL-11	0.03317	0.03659	0.04014	0.01614	0.02611	0.01898	0.03217	0.05731	0.05215	0.01926	0.06056	0.04503	0.03746	0.01619	0.0315	0.06251	0.04025	0.04238	0.01841	0.05824	0.05609	0.02498	0.03453	0.01975	0.04209	0.9066	0.8477	0.8659	0.882	0.9101	0.9348	0.9467	0.9082
TCGA-A6-2685-01	TCGA-A6-2685-01	0.03317	0.03363	0.03862	0.02051	0.03923	0.05161	0.04501	0.03548	0.05376	0.02936	0.1324	0.05173	0.03042	0.01729	0.03093	0.07781	0.03527	0.04363	0.02264	0.08986	0.04921	0.03106	0.06585	0.03465	0.04535	0.8896	0.844	0.814	0.8101	0.8615	0.942	0.919	0.8405
TCGA-AR-A5QN-01	TCGA-AR-A5QN-01	0.03317	0.02999	0.02693	0.02228	0.023	0.02789	0.03171	0.03366	0.0432	0.02538	0.08089	0.04194	0.02157	0.02438	0.02746	0.09651	0.03625	0.03957	0.0352	0.04021	0.0287	0.02973	0.0314	0.02394	0.03186	0.8915	0.861	0.8112	0.8374	0.6521	0.9264	0.9287	0.8846
TCGA-D6-A6EK-01	TCGA-D6-A6EK-01	0.03317	0.02907	0.02517	0.02083	0.03065	0.03333	0.04207	0.03291	0.06963	0.02381	0.09394	0.04507	0.02034	0.01943	0.0244	0.08301	0.03278	0.041	0.0236	0.04258	0.02817	0.02612	0.03075	0.02484	0.03272	0.8455	0.8149	0.776	0.7417	0.8436	0.9248	0.9144	0.8157
TCGA-W5-AA2T-01	TCGA-W5-AA2T-01	0.03317	0.0257	0.02063	0.01982	0.02431	0.01845	0.04799	0.1082	0.03486	0.0184	0.04003	0.02808	0.02027	0.01499	0.02062	0.05803	0.01987	0.0336	0.01423	0.02804	0.02611	0.023	0.01568	0.01476	0.01983	0.8601	0.721	0.7341	0.829	0.7601	0.9344	0.9322	0.8146
TCGA-RW-A686-06	TCGA-RW-A686-06	0.03316	0.04318	0.05265	0.02214	0.02738	0.0249	0.05532	0.04014	0.04465	0.02309	0.1085	0.04377	0.02363	0.0175	0.02948	0.06063	0.02979	0.03578	0.02232	0.04813	0.0559	0.02555	0.03528	0.03012	0.03215	0.8587	0.797	0.8	0.804	0.3657	0.8366	0.9381	0.8672
TCGA-WY-A85B-01	TCGA-WY-A85B-01	0.03316	0.03403	0.02125	0.01704	0.03435	0.01618	0.04207	0.05312	0.05708	0.01667	0.01847	0.04487	0.02929	0.01816	0.03382	0.05864	0.0315	0.03595	0.02427	0.04504	0.0342	0.02044	0.02592	0.02214	0.01935	0.8358	0.8603	0.8017	0.7015	0.9244	0.9508	0.9441	0.8906
TCGA-L5-A891-01	TCGA-L5-A891-01	0.03316	0.02897	0.02468	0.02736	0.02464	0.03411	0.05883	0.06781	0.04624	0.02692	0.07628	0.05668	0.02232	0.02175	0.03711	0.03357	0.03355	0.03975	0.02482	0.0381	0.02258	0.03514	0.02235	0.02361	0.03733	0.8679	0.8489	0.8683	0.9009	0.7466	0.9417	0.9236	0.8216
TCGA-VF-A8AD-01	TCGA-VF-A8AD-01	0.03316	0.028	0.02282	0.02016	0.02247	0.02471	0.03739	0.02315	0.04903	0.0166	0.1089	0.03017	0.02496	0.01639	0.01955	0.04758	0.02105	0.03738	0.01648	0.04812	0.03214	0.01754	0.03303	0.01918	0.02486	0.405	0.5832	0.5012	0.6826	0.4557	0.7794	0.8836	0.7996
TCGA-A2-A0EN-01	TCGA-A2-A0EN-01	0.03316	0.02499	0.02353	0.01865	0.02327	0.05952	0.03083	0.1262	0.04638	0.03789	0.05737	0.04904	0.0216	0.01947	0.03777	0.05886	0.03164	0.03994	0.02829	0.06546	0.0333	0.0413	0.02777	0.02574	0.04529	0.8967	0.8969	0.8542	0.8359	0.822	0.9543	0.9465	0.866
TCGA-FI-A3PV-01	TCGA-FI-A3PV-01	0.03316	0.02423	0.02983	0.02408	0.03071	0.02717	0.03013	0.05255	0.04304	0.0388	0.1195	0.04578	0.02982	0.0303	0.03054	0.05447	0.03855	0.03949	0.02708	0.03429	0.03187	0.03559	0.02266	0.02488	0.05282	0.8948	0.8239	0.7319	0.8016	0.7033	0.934	0.942	0.7655
TCGA-UB-A7ME-01	TCGA-UB-A7ME-01	0.03316	0.02043	0.02833	0.02162	0.02159	0.02624	0.03496	0.04843	0.04975	0.02361	0.05553	0.0543	0.02482	0.02035	0.02776	0.06379	0.03056	0.04196	0.02531	0.03338	0.03527	0.03698	0.04655	0.02102	0.02894	0.8887	0.8651	0.8521	0.8927	0.908	0.9543	0.9495	0.8831
TCGA-BG-A2L7-01	TCGA-BG-A2L7-01	0.03315	0.04203	0.03716	0.02076	0.03364	0.0266	0.04348	0.03358	0.0466	0.01647	0.1063	0.03643	0.02477	0.0163	0.0263	0.08672	0.03184	0.05578	0.01934	0.05015	0.04772	0.02529	0.102	0.02111	0.03392	0.9004	0.7977	0.7377	0.7946	0.7842	0.9472	0.9591	0.5438
TCGA-CV-A463-01	TCGA-CV-A463-01	0.03314	0.03542	0.0488	0.02016	0.03989	0.03065	0.03795	0.0524	0.04716	0.02343	0.04819	0.05923	0.02946	0.01814	0.03711	0.06983	0.03332	0.05469	0.02488	0.04036	0.04078	0.03729	0.0149	0.02129	0.02983	0.8884	0.8545	0.8186	0.8418	0.6921	0.9268	0.9483	0.5984
TCGA-EJ-7315-01	TCGA-EJ-7315-01	0.03314	0.03171	0.03786	0.01903	0.03354	0.03675	0.03892	0.04526	0.04622	0.02501	0.1141	0.04963	0.02482	0.01841	0.03311	0.06509	0.03549	0.051	0.02738	0.03282	0.02805	0.02904	0.03711	0.02302	0.03264	0.8915	0.7835	0.8591	0.8666	0.6263	0.9533	0.9521	0.86
TCGA-L5-A4OJ-11	TCGA-L5-A4OJ-11	0.03313	0.03405	0.02383	0.01936	0.02326	0.0215	0.03547	0.03334	0.04476	0.02258	0.06719	0.04591	0.0242	0.01664	0.02033	0.04488	0.02517	0.03449	0.02464	0.02017	0.039	0.02368	0.02314	0.02436	0.03099	0.8003	0.7882	0.786	0.8136	0.8233	0.9032	0.9298	0.812
TCGA-LB-A8F3-01	TCGA-LB-A8F3-01	0.03312	0.0351	0.03346	0.02076	0.0395	0.01954	0.05352	0.06111	0.07012	0.02363	0.02905	0.04611	0.03928	0.01732	0.03293	0.05776	0.03201	0.0423	0.02446	0.03741	0.03086	0.03261	0.02735	0.0216	0.03019	0.8493	0.8392	0.8785	0.8595	0.737	0.9355	0.9262	0.8311
TCGA-FS-A4FC-06	TCGA-FS-A4FC-06	0.03312	0.03251	0.03771	0.02908	0.02235	0.04652	0.04596	0.03741	0.03774	0.01838	0.1364	0.03978	0.03133	0.01867	0.02806	0.05522	0.03402	0.0425	0.02014	0.02721	0.03022	0.0257	0.01859	0.02201	0.02544	0.9195	0.8214	0.679	0.661	0.6317	0.9423	0.9519	0.8846
TCGA-EE-A17Y-06	TCGA-EE-A17Y-06	0.03312	0.03167	0.05975	0.02104	0.03447	0.02887	0.03053	0.03482	0.04446	0.01815	0.1217	0.03579	0.02504	0.01575	0.02885	0.05529	0.03073	0.03906	0.01698	0.03686	0.03209	0.02705	0.01935	0.01588	0.0281	0.8093	0.5915	0.5977	0.5483	0.5498	0.8582	0.9455	0.7783
TCGA-CH-5763-01	TCGA-CH-5763-01	0.03312	0.03089	0.02607	0.02303	0.03628	0.02402	0.03905	0.04474	0.04861	0.01822	0.09086	0.0474	0.03277	0.0146	0.03108	0.08855	0.03759	0.05156	0.02383	0.05821	0.0317	0.0313	0.08114	0.02483	0.02144	0.8646	0.7705	0.7792	0.7418	0.6776	0.9149	0.9423	0.5471
TCGA-L5-A4OR-01	TCGA-L5-A4OR-01	0.03312	0.0229	0.02417	0.02487	0.01689	0.01878	0.03946	0.03398	0.04541	0.02016	0.06791	0.0409	0.02605	0.0176	0.02734	0.04468	0.02414	0.03184	0.02196	0.03853	0.03556	0.02865	0.02126	0.02151	0.02873	0.7952	0.7938	0.632	0.8488	0.4872	0.8799	0.9313	0.7358
TCGA-DX-AB2P-01	TCGA-DX-AB2P-01	0.03311	0.0384	0.04268	0.01827	0.02663	0.02279	0.02975	0.03056	0.04634	0.01848	0.1077	0.03506	0.02004	0.02028	0.02434	0.05455	0.03383	0.0382	0.02033	0.03727	0.0637	0.05121	0.03712	0.04631	0.1048	0.9274	0.9294	0.9021	0.9443	0.7989	0.945	0.9059	0.7321
TCGA-VM-A8CD-01	TCGA-VM-A8CD-01	0.03311	0.03529	0.03118	0.01673	0.03069	0.02035	0.04669	0.0508	0.06571	0.01736	0.03666	0.0567	0.036	0.0147	0.02869	0.05893	0.03682	0.03307	0.02199	0.06912	0.07117	0.02489	0.02839	0.02108	0.02172	0.8287	0.6598	0.5189	0.4861	0.6028	0.9433	0.9344	0.424
TCGA-J8-A42S-01	TCGA-J8-A42S-01	0.03311	0.02918	0.03012	0.01655	0.02116	0.0466	0.04333	0.03247	0.04649	0.01887	0.1041	0.05008	0.03016	0.02091	0.01966	0.06548	0.02625	0.0328	0.02446	0.02033	0.03352	0.0234	0.01426	0.01704	0.02848	0.9103	0.8459	0.8279	0.8879	0.9158	0.9419	0.944	0.7307
TCGA-TT-A6YO-01	TCGA-TT-A6YO-01	0.03311	0.028	0.04018	0.02538	0.02785	0.02164	0.05141	0.0714	0.06312	0.02073	0.06779	0.03905	0.02784	0.01849	0.0237	0.06109	0.03306	0.05825	0.02006	0.04914	0.04129	0.02153	0.04452	0.02034	0.02461	0.8913	0.8044	0.8443	0.8722	0.7056	0.9301	0.9303	0.8256
TCGA-HT-8019-01	TCGA-HT-8019-01	0.03311	0.02774	0.02714	0.02007	0.02224	0.03108	0.06444	0.03397	0.05679	0.01905	0.1196	0.04672	0.02192	0.01692	0.02661	0.0533	0.02643	0.03901	0.02334	0.0384	0.03552	0.033	0.02104	0.02209	0.02374	0.8832	0.7273	0.7091	0.7456	0.7901	0.9317	0.9497	0.798
TCGA-UF-A7JF-01	TCGA-UF-A7JF-01	0.0331	0.05518	0.05025	0.02679	0.03226	0.03427	0.06168	0.0362	0.05639	0.01966	0.1108	0.04159	0.02617	0.01904	0.02776	0.0571	0.03429	0.03713	0.02128	0.04559	0.05081	0.02482	0.03553	0.02329	0.02726	0.8794	0.837	0.8646	0.8492	0.8328	0.9563	0.9465	0.4383
TCGA-AG-A036-01	TCGA-AG-A036-01	0.0331	0.04545	0.04713	0.0261	0.04497	0.02345	0.0516	0.0395	0.05871	0.03016	0.1459	0.03861	0.02373	0.01992	0.02829	0.0887	0.04113	0.04792	0.02424	0.08505	0.03594	0.03042	0.06766	0.03134	0.03948	0.8873	0.8718	0.7207	0.8881	0.824	0.945	0.9434	0.8173
TCGA-D1-A1O0-01	TCGA-D1-A1O0-01	0.0331	0.04125	0.04977	0.0275	0.0429	0.05011	0.05415	0.0507	0.08139	0.02023	0.1584	0.05787	0.04334	0.02126	0.03279	0.104	0.04087	0.05728	0.02198	0.0674	0.05704	0.02671	0.1135	0.02256	0.02684	0.8865	0.7614	0.776	0.8096	0.8081	0.954	0.9493	0.7746
TCGA-DJ-A2Q0-01	TCGA-DJ-A2Q0-01	0.0331	0.03886	0.06327	0.02212	0.03022	0.03105	0.03366	0.04019	0.03393	0.02526	0.1191	0.04302	0.02695	0.01856	0.02146	0.07845	0.03228	0.0514	0.02015	0.03981	0.04609	0.0322	0.03394	0.02144	0.04664	0.8718	0.7808	0.8274	0.849	0.7754	0.9479	0.95	0.6746
TCGA-CE-A3MD-01	TCGA-CE-A3MD-01	0.0331	0.03277	0.05305	0.02179	0.02834	0.05902	0.03816	0.04362	0.05518	0.02128	0.144	0.05377	0.02782	0.01877	0.02641	0.08418	0.03002	0.04229	0.027	0.05044	0.06126	0.02814	0.04267	0.02355	0.03076	0.8855	0.8389	0.8538	0.8954	0.799	0.9596	0.9537	0.9101
TCGA-A6-2671-11	TCGA-A6-2671-11	0.0331	0.03023	0.03682	0.01863	0.02764	0.02479	0.03179	0.03243	0.05783	0.02211	0.1206	0.03724	0.02722	0.01707	0.02221	0.05789	0.02887	0.04701	0.02081	0.05507	0.04224	0.02657	0.05541	0.02157	0.03371	0.8531	0.8325	0.8226	0.8229	0.7576	0.9431	0.9359	0.8333
TCGA-60-2703-01	TCGA-60-2703-01	0.0331	0.02781	0.03809	0.02603	0.02972	0.04237	0.02443	0.03633	0.04625	0.0241	0.1287	0.03208	0.02443	0.01897	0.0255	0.06948	0.02684	0.04194	0.02566	0.03258	0.03541	0.0269	0.07795	0.02458	0.03613	0.859	0.8003	0.8092	0.8468	0.8786	0.9387	0.9386	0.854
TCGA-EL-A3T7-01	TCGA-EL-A3T7-01	0.0331	0.02684	0.02657	0.02649	0.02392	0.04835	0.03657	0.0378	0.04251	0.0219	0.09473	0.03767	0.01956	0.01954	0.02163	0.0567	0.03096	0.03512	0.02391	0.02703	0.03049	0.02327	0.02058	0.02314	0.03352	0.8656	0.8448	0.857	0.9147	0.9378	0.953	0.951	0.8963
TCGA-FV-A4ZQ-01	TCGA-FV-A4ZQ-01	0.03309	0.03328	0.04944	0.01996	0.02665	0.02387	0.03903	0.03707	0.05384	0.01713	0.0575	0.03877	0.02394	0.01347	0.03008	0.0633	0.02935	0.04308	0.02454	0.04189	0.05885	0.0311	0.03431	0.02407	0.02369	0.8927	0.7675	0.876	0.8895	0.8375	0.9454	0.952	0.8408
TCGA-CF-A9FM-01	TCGA-CF-A9FM-01	0.03309	0.03161	0.03452	0.01818	0.03152	0.04024	0.04256	0.05754	0.04747	0.02214	0.1203	0.02973	0.01981	0.01381	0.02281	0.06769	0.02316	0.02877	0.01763	0.04109	0.03417	0.02426	0.03503	0.01602	0.02563	0.849	0.7983	0.8514	0.827	0.8985	0.9374	0.9435	0.1202
