sample	samples	chr17:7590695-7590863:-	chr17:7580643-7580745:-	chr17:7579700-7579940:-	chr17:7579312-7579590:-	chr17:7578371-7578811:-	chr17:7577499-7577608:-	chr17:7577019-7577155:-	chr17:7576853-7576926:-	chr17:7576525-7576657:-	chr17:7573927-7574033:-	chr17:7571720-7573008:-	chr17:7565097-7565332:-
TCGA-AA-3713-01	TCGA-AA-3713-01	4.283	0	4.452	5.498	4.283	5.379	5.619	5.977	0.5864	5.625	5.474	0.0879
TCGA-ZB-A963-01	TCGA-ZB-A963-01	4.282	0.3481	4.2	4.861	3.851	5.094	5.286	5.574	1.31	5.308	5.464	0.0834
TCGA-DU-6410-01	TCGA-DU-6410-01	4.282	0.085	4.364	5.226	4.106	5.398	5.584	5.838	0.2486	5.543	5.168	0.3983
TCGA-AB-2921-03	TCGA-AB-2921-03	4.281	0.7739	4.365	5.368	4.364	5.86	5.74	6.003	2.669	5.978	5.306	0.1076
TCGA-KT-A7W1-01	TCGA-KT-A7W1-01	4.279	0.7187	4.398	5.192	4.253	5.187	5.579	5.812	0.5361	5.62	5.422	0.1171
TCGA-E1-5304-01	TCGA-E1-5304-01	4.279	0.2813	4.474	5.446	4.248	5.614	5.692	6.051	0.5851	5.776	5.818	0.1703
TCGA-DQ-5629-01	TCGA-DQ-5629-01	4.279	0.1085	4.277	5.362	4.283	5.658	5.746	5.862	0.3125	5.613	5.309	0
TCGA-MQ-A4LM-01	TCGA-MQ-A4LM-01	4.279	0.0888	4.356	4.971	3.916	5.264	5.487	5.799	0.317	5.584	5.625	0.0778
TCGA-DG-A2KH-01	TCGA-DG-A2KH-01	4.279	0	4.221	5.3	4.14	5.623	5.837	6.184	0.8873	5.94	6.198	0
TCGA-A7-A0CE-01	TCGA-A7-A0CE-01	4.278	0.0833	4.491	5.241	4.08	5.88	5.836	6.1	0.403	5.836	5.787	0.037
TCGA-MX-A5UG-01	TCGA-MX-A5UG-01	4.277	0.7108	4.346	5.36	4.241	5.749	5.672	5.937	1.63	5.506	4.592	0
TCGA-V1-A9ZG-01	TCGA-V1-A9ZG-01	4.277	0.0887	4.095	4.901	3.699	4.882	5.12	5.328	0.1351	5.098	4.911	0.0394
TCGA-W5-AA2R-01	TCGA-W5-AA2R-01	4.277	0	4.405	5.467	4.314	5.632	5.707	5.993	0.6886	5.718	5.726	0
TCGA-HQ-A2OF-01	TCGA-HQ-A2OF-01	4.276	0	4.101	5.174	3.978	5.141	5.404	5.727	0.3162	5.47	5.26	0
TCGA-EY-A2OQ-01	TCGA-EY-A2OQ-01	4.275	0.1144	4.282	5.504	4.486	5.722	5.791	6.251	0	5.885	5.867	0
TCGA-AA-3655-01	TCGA-AA-3655-01	4.274	0.1256	4.383	5.355	4.101	5.325	5.582	5.809	0.3581	5.639	5.498	0
TCGA-EE-A29P-06	TCGA-EE-A29P-06	4.274	0.1044	4.532	5.607	4.438	5.701	5.92	6.22	1.074	5.876	5.768	0.0465
TCGA-EB-A5KH-06	TCGA-EB-A5KH-06	4.274	0	4.404	5.417	4.273	5.525	5.746	5.982	0.2555	5.884	5.818	0.0516
TCGA-56-8201-01	TCGA-56-8201-01	4.274	0	4.171	5.407	4.34	5.657	5.824	6.11	0.9428	5.81	5.899	0.0526
TCGA-TM-A84I-01	TCGA-TM-A84I-01	4.273	0.1016	4.373	5.356	4.167	5.544	5.631	5.917	0.481	5.754	5.404	0.1317
TCGA-AA-3502-01	TCGA-AA-3502-01	4.273	0	4.431	5.487	4.365	5.737	5.879	6.123	0.1703	5.825	5.733	0.1452
TCGA-2G-AAGI-01	TCGA-2G-AAGI-01	4.272	1.276	4.591	5.363	4.233	5.854	5.89	6.219	0.4512	5.962	5.769	0
TCGA-DX-A1KY-01	TCGA-DX-A1KY-01	4.272	0	4.229	5.381	4.245	5.551	5.733	6.034	0.7326	5.743	5.449	0.3462
TCGA-4V-A9QT-01	TCGA-4V-A9QT-01	4.272	0	4.075	4.988	4.1	5.615	5.855	6.17	0.5453	5.956	6.413	0.0409
TCGA-A8-A09Z-01	TCGA-A8-A09Z-01	4.271	0.3229	4.345	5.419	4.237	5.315	5.524	5.821	0.1962	5.582	5.085	0.0769
TCGA-3H-AB3T-01	TCGA-3H-AB3T-01	4.27	0.2122	4.125	4.781	3.753	5.03	5.339	5.735	0.3859	5.45	5.402	0
TCGA-61-2111-01	TCGA-61-2111-01	4.27	0.1321	4.687	5.825	4.63	5.943	5.83	6.189	0.6729	5.985	5.243	0.2234
TCGA-A8-A09T-01	TCGA-A8-A09T-01	4.27	0	3.635	4.751	3.682	5.261	5.361	5.722	0	5.232	5.476	0
TCGA-E7-A6MF-01	TCGA-E7-A6MF-01	4.269	0	4.331	5.281	4.12	5.286	5.587	5.831	0.2553	5.609	4.983	0.196
TCGA-DU-5847-01	TCGA-DU-5847-01	4.268	0.6679	4.324	5.342	4.096	5.586	5.514	5.815	0.3489	5.588	5.641	0.1071
TCGA-A2-A0T5-01	TCGA-A2-A0T5-01	4.268	0.1702	4.323	5.511	4.385	5.878	5.99	6.109	0.2557	5.784	6.111	0
TCGA-CG-4306-01	TCGA-CG-4306-01	4.268	0.1549	4.275	4.975	3.638	5.085	5.11	5.262	0.3372	5.29	4.84	0.0352
TCGA-3U-A98D-01	TCGA-3U-A98D-01	4.268	0	4.149	4.816	3.706	5.13	5.275	5.556	0.2558	5.313	5.532	0.0516
TCGA-AZ-4682-01	TCGA-AZ-4682-01	4.267	0	4.327	5.289	0.9946	5.665	5.636	5.982	0.207	5.836	5.73	0
TCGA-D5-6532-01	TCGA-D5-6532-01	4.267	0	4.273	5.314	4.206	5.333	5.62	5.987	0	5.762	5.47	0.0506
TCGA-DH-A7UU-01	TCGA-DH-A7UU-01	4.266	0.5396	4.203	4.984	3.934	5.111	5.413	5.681	0.3704	5.343	4.975	0.0922
TCGA-FG-7634-01	TCGA-FG-7634-01	4.266	0	4.365	5.418	4.245	5.555	5.719	5.912	0.3509	5.652	5.255	0.0728
TCGA-DA-A1IA-06	TCGA-DA-A1IA-06	4.265	0.0885	4.724	5.696	4.488	5.589	5.725	6.028	0.069	5.868	5.448	0
TCGA-YG-AA3N-01	TCGA-YG-AA3N-01	4.265	0	4.309	5.068	3.902	5.312	5.259	5.614	0.1655	5.503	4.991	0
TCGA-CD-5813-01	TCGA-CD-5813-01	4.262	0.7709	4.379	5.14	3.838	5.142	5.284	5.48	0	5.201	4.34	0
TCGA-EQ-A4SO-01	TCGA-EQ-A4SO-01	4.262	0.2311	4.376	5.308	4.122	5.495	5.413	5.666	0.374	5.359	4.816	0
TCGA-AD-5900-01	TCGA-AD-5900-01	4.262	0	4.377	5.446	4.314	5.528	5.727	5.95	0.6497	5.729	5.873	0.0567
TCGA-G2-A3VY-01	TCGA-G2-A3VY-01	4.261	0.6837	4.442	5.459	4.349	5.671	5.739	6.005	0.5553	5.823	5.936	0.2452
TCGA-CV-5443-01	TCGA-CV-5443-01	4.261	0.2295	4.013	5.298	4.15	5.596	5.722	5.95	0.3415	5.609	5.544	0.1047
TCGA-S9-A6U2-01	TCGA-S9-A6U2-01	4.261	0.22	4.198	5.018	3.814	5.004	5.199	5.35	0.0892	5.279	4.688	0.1002
TCGA-BQ-7051-01	TCGA-BQ-7051-01	4.261	0.1529	4.468	5.623	4.484	5.562	5.719	6.006	0.081	5.803	5.381	0
TCGA-DC-6683-01	TCGA-DC-6683-01	4.261	0	4.614	5.506	4.281	5.358	5.709	6.2	0.1992	5.969	6.143	0
TCGA-E2-A15J-01	TCGA-E2-A15J-01	4.26	0.0863	4.578	5.423	4.243	5.836	6.041	6.271	0.5633	6.031	5.79	0
TCGA-BF-AAP1-01	TCGA-BF-AAP1-01	4.26	0.0832	4.131	4.969	3.995	5.16	5.42	5.709	0.6339	5.605	5.503	0.108
TCGA-XU-A92U-01	TCGA-XU-A92U-01	4.26	0	4.048	4.89	3.963	5.371	5.506	5.779	0.8323	5.646	5.942	0.0879
TCGA-EE-A3J3-06	TCGA-EE-A3J3-06	4.259	0.3576	4.451	5.448	4.267	5.44	5.688	5.954	0.2844	5.704	5.811	0.0692
TCGA-A8-A08A-01	TCGA-A8-A08A-01	4.259	0.0917	4.481	5.288	4.156	5.298	5.663	6.074	0.3839	5.866	5.493	0.0407
TCGA-VD-AA8O-01	TCGA-VD-AA8O-01	4.259	0	4.035	5.016	3.858	5.085	5.308	5.612	0	5.539	5.847	0.0574
TCGA-IG-A97I-01	TCGA-IG-A97I-01	4.258	0.7138	4.487	5.504	4.58	6.193	6.047	6.236	0.7883	5.979	5.242	0
TCGA-XU-A92Y-01	TCGA-XU-A92Y-01	4.258	0.0866	4.076	4.878	3.976	5.392	5.688	5.961	0.8971	5.666	5.902	0
TCGA-A4-7286-01	TCGA-A4-7286-01	4.257	0	4.09	4.812	3.767	4.596	4.902	5.122	0.2421	4.648	5.031	0
TCGA-2G-AAM4-01	TCGA-2G-AAM4-01	4.256	1.496	4.453	5.419	4.071	5.59	5.739	6.009	0.2411	6.029	6.095	0.0365
TCGA-CN-6012-01	TCGA-CN-6012-01	4.256	0.3387	4.121	5.374	4.168	5.382	5.505	5.825	0.2689	5.544	5.076	0.0411
TCGA-AB-3009-03	TCGA-AB-3009-03	4.255	1.429	4.203	5.373	4.435	5.856	6.001	6.437	3.109	6.045	5.153	0.3432
TCGA-22-5474-01	TCGA-22-5474-01	4.255	0.1615	4.37	5.371	4.176	5.631	5.857	6.114	0.2797	5.852	5.553	0
TCGA-FP-8209-01	TCGA-FP-8209-01	4.255	0.0813	4.513	5.508	4.025	5.081	5.129	5.315	1.203	5.103	3.856	0.2353
TCGA-56-1622-01	TCGA-56-1622-01	4.255	0	4.612	5.645	4.506	6.031	6.164	6.36	0.2174	6.184	5.959	0
TCGA-XU-A930-01	TCGA-XU-A930-01	4.254	0.3169	4.106	4.871	3.788	5.292	5.564	5.867	0.5613	5.617	6.031	0.0753
TCGA-CH-5752-01	TCGA-CH-5752-01	4.254	0.1682	4.615	5.576	4.407	5.624	5.726	6.019	0.2528	5.858	5.637	0
TCGA-EJ-5494-01	TCGA-EJ-5494-01	4.253	0.1935	4.341	5.37	4.317	5.562	5.73	5.958	0.0781	5.675	5.536	0
TCGA-AZ-6599-01	TCGA-AZ-6599-01	4.253	0	4.187	5.199	4.234	5.392	5.598	5.8	0.5018	5.529	5.784	0.1086
TCGA-50-5066-02	TCGA-50-5066-02	4.252	0.157	4.484	5.435	4.266	5.527	5.791	6.177	0.9848	5.97	5.941	0.0706
TCGA-A2-A04T-01	TCGA-A2-A04T-01	4.251	0.4275	4.658	5.659	4.406	5.852	6.024	6.447	0.6988	6.21	6.351	0
TCGA-BH-A0B7-11	TCGA-BH-A0B7-11	4.249	0.1141	4.278	5.403	4.188	5.727	5.915	6.182	1.059	5.835	5.643	0.1001
TCGA-A8-A08T-01	TCGA-A8-A08T-01	4.249	0.0864	4.591	5.417	4.184	5.785	5.921	6.228	0.5635	5.901	5.847	0.2491
TCGA-BH-A0B3-01	TCGA-BH-A0B3-01	4.249	0.0796	4.361	5.326	4.078	5.674	5.799	6.107	0.2336	5.926	5.831	0.0353
TCGA-B6-A0RT-01	TCGA-B6-A0RT-01	4.248	0.6402	4.407	5.577	4.39	5.872	5.946	6.208	0.7588	5.879	5.99	0
TCGA-12-3650-01	TCGA-12-3650-01	4.248	0.3606	4.459	4.842	3.737	5.483	5.301	5.604	0.5259	5.388	4.872	0
TCGA-TS-A7P1-01	TCGA-TS-A7P1-01	4.248	0	4.084	4.926	3.936	5.229	5.294	5.566	0.3156	5.437	5.253	0.0489
TCGA-MX-A666-01	TCGA-MX-A666-01	4.247	0.609	4.494	5.47	4.317	5.816	5.828	6.114	0.4923	5.728	4.817	0.2977
TCGA-AB-3005-03	TCGA-AB-3005-03	4.247	0.468	4.468	5.31	4.166	6.087	5.983	6.235	1.796	5.945	5.138	0.0783
TCGA-WC-AA9E-01	TCGA-WC-AA9E-01	4.247	0.4054	4.199	4.837	3.724	5.115	5.332	5.681	0	5.54	5.523	0
TCGA-CG-4462-01	TCGA-CG-4462-01	4.245	0	4.172	4.847	3.623	5.026	4.968	5.297	0.2627	5.219	4.362	0
TCGA-55-8087-01	TCGA-55-8087-01	4.244	0.3085	4.339	5.076	3.948	5.257	5.506	5.829	0.9085	5.698	5.659	0.1084
TCGA-N6-A4VD-01	TCGA-N6-A4VD-01	4.243	0.0922	4.038	5.163	4.155	5.457	5.754	6.121	0.9021	5.872	6.012	0.041
TCGA-22-5477-01	TCGA-22-5477-01	4.243	0.0631	4.575	5.669	4.492	5.93	5.954	6.278	0.5362	5.936	5.63	0
TCGA-IW-A3M4-01	TCGA-IW-A3M4-01	4.243	0	4.233	5.372	4.177	5.516	5.681	5.995	0	5.8	5.724	0
TCGA-XM-A8RB-01	TCGA-XM-A8RB-01	4.242	0.1092	4.059	5.066	4.075	5.443	5.68	6.035	0.3146	5.797	6.063	0.2285
TCGA-MX-A5UJ-01	TCGA-MX-A5UJ-01	4.241	0	4.478	5.521	4.172	5.379	5.276	5.614	0.7059	5.372	4.692	0
TCGA-V3-A9ZX-01	TCGA-V3-A9ZX-01	4.24	0	4.113	4.83	3.712	5.073	5.239	5.43	0.2704	5.198	5.306	0.0548
TCGA-E2-A1II-01	TCGA-E2-A1II-01	4.239	0	4.387	5.367	3.983	5.548	5.79	6.126	0.2042	5.8	5.74	0
TCGA-06-2565-01	TCGA-06-2565-01	4.237	1.076	4.792	5.498	4.332	5.906	5.685	6.106	0.69	5.868	5.501	0.3126
TCGA-E2-A15F-01	TCGA-E2-A15F-01	4.236	0.1128	4.148	5.493	4.215	5.405	5.685	6.029	0.4626	5.732	5.721	0.2786
TCGA-XU-A936-01	TCGA-XU-A936-01	4.236	0	4.049	4.948	3.831	5.264	5.478	5.691	0.5486	5.475	5.541	0
TCGA-13-0799-01	TCGA-13-0799-01	4.235	0.398	4.505	5.599	4.063	5.886	5.809	6.062	0.6793	5.932	5.488	0.1477
TCGA-L5-A8NF-01	TCGA-L5-A8NF-01	4.234	0.7534	4.155	5.007	4.017	5.545	5.383	5.535	1.18	5.209	4.418	0.0328
TCGA-EJ-5530-01	TCGA-EJ-5530-01	4.234	0	4.331	5.397	4.231	5.416	5.545	5.706	0.3845	5.499	5.173	0
TCGA-AB-2901-03	TCGA-AB-2901-03	4.233	1.164	4.109	5.186	4.087	5.678	5.496	5.862	1.832	5.669	4.951	0.4446
TCGA-44-2666-01	TCGA-44-2666-01	4.233	0.2594	4.127	4.953	3.85	5.179	5.443	5.677	0.9376	5.51	5.38	0
TCGA-ZB-A96E-01	TCGA-ZB-A96E-01	4.233	0	4.185	4.784	3.734	5.192	5.554	5.758	0.6157	5.43	5.678	0
TCGA-AB-2812-03	TCGA-AB-2812-03	4.232	0.3341	3.805	4.602	3.561	5.209	5.149	5.773	2.273	5.52	5.073	0.0798
TCGA-CM-6674-01	TCGA-CM-6674-01	4.232	0	4.513	5.374	4.351	5.604	5.862	6.166	0	5.973	6.287	0
TCGA-CN-4723-01	TCGA-CN-4723-01	4.232	0	4.239	5.331	4.24	5.522	5.609	5.783	0.8499	5.525	5.119	0.0707
TCGA-AA-3506-01	TCGA-AA-3506-01	4.23	0.2059	4.417	5.576	4.444	5.493	5.736	6.144	0.7254	5.882	5.463	0.1813
TCGA-04-1364-01	TCGA-04-1364-01	4.229	0.325	4.332	5.236	4.187	5.653	5.65	5.949	0.1976	5.871	6.069	0
TCGA-A6-5664-01	TCGA-A6-5664-01	4.229	0	4.493	5.35	4.237	5.486	5.597	5.963	0.2377	5.652	5.443	0
TCGA-DX-A8BS-01	TCGA-DX-A8BS-01	4.228	0	1.26	1.749	1.037	1.859	2.066	2.446	0	2.309	2.547	0
TCGA-ZH-A8Y5-01	TCGA-ZH-A8Y5-01	4.227	0.0832	4.496	5.212	4.114	5.526	5.726	6.105	0.4518	5.772	5.817	0.0729
TCGA-F4-6463-01	TCGA-F4-6463-01	4.227	0	4.31	5.366	4.364	5.66	5.93	6.188	0.3558	5.938	6.277	0
TCGA-FS-A4FD-06	TCGA-FS-A4FD-06	4.227	0	4.19	5.183	4.101	5.227	5.48	5.792	0.2898	5.573	5.257	0.1704
TCGA-LL-A441-01	TCGA-LL-A441-01	4.225	0.4914	4.437	5.516	4.302	5.463	5.636	6.087	0.5791	5.912	6.025	0.2039
TCGA-EE-A2A5-06	TCGA-EE-A2A5-06	4.224	0.4046	4.528	5.619	4.49	5.764	5.996	6.201	0.0591	5.977	5.578	0.1299
TCGA-V4-A9F3-01	TCGA-V4-A9F3-01	4.224	0.2914	4.064	4.784	3.74	4.998	5.257	5.353	0.7099	5.149	4.938	0
TCGA-V4-A9EE-01	TCGA-V4-A9EE-01	4.223	0	4.097	4.823	3.769	5.198	5.375	5.559	0.5098	5.25	5.23	0.1105
TCGA-G9-6329-01	TCGA-G9-6329-01	4.222	2.471	2.228	2.837	2.017	3.207	3.368	5.225	0.1262	4.928	5.343	0
TCGA-2G-AAFZ-01	TCGA-2G-AAFZ-01	4.222	1.189	4.377	5.129	3.918	5.308	5.616	5.93	0.2779	5.64	5.454	0.1632
TCGA-28-5204-01	TCGA-28-5204-01	4.222	0.2375	4.795	5.469	4.169	5.867	5.737	6.221	0.2725	5.962	5.479	0
TCGA-AC-A7VB-01	TCGA-AC-A7VB-01	4.222	0.2283	4.317	5.124	4.03	5.241	5.463	5.869	1.075	5.515	5.383	0.0356
TCGA-DX-A1L1-01	TCGA-DX-A1L1-01	4.222	0	4.117	5.277	4.001	5.267	5.424	5.741	0.1469	5.609	5.375	0.2029
TCGA-24-2297-01	TCGA-24-2297-01	4.219	0.4375	4.338	5.448	4.311	5.602	5.525	5.887	0.6936	5.659	5.221	0.2314
TCGA-W3-A825-06	TCGA-W3-A825-06	4.219	0.1045	4.28	5.189	4.144	5.459	5.657	6.041	1.074	5.814	5.856	0.1353
TCGA-A2-A1FX-01	TCGA-A2-A1FX-01	4.218	0.148	4.398	5.276	4.072	5.617	5.785	6.043	0.7749	5.723	5.668	0
TCGA-FD-A3SP-01	TCGA-FD-A3SP-01	4.217	0	4.377	5.355	4.268	5.493	5.695	5.903	0.0748	5.739	5.79	0.0426
TCGA-YD-A9TB-06	TCGA-YD-A9TB-06	4.217	0	4.193	4.988	3.921	5.296	5.418	5.718	0	5.443	5.455	0
TCGA-AB-2911-03	TCGA-AB-2911-03	4.216	1.116	3.971	4.91	3.643	5.144	5.175	5.623	2.822	5.374	4.721	0.1014
TCGA-AB-2836-03	TCGA-AB-2836-03	4.215	0.8229	4.25	5.193	4.094	5.667	5.662	5.955	2.646	5.786	4.876	0
TCGA-R5-A7ZE-01	TCGA-R5-A7ZE-01	4.215	0.2235	4.659	5.851	4.511	5.771	5.74	5.973	0.176	5.757	4.904	0
TCGA-CN-5366-01	TCGA-CN-5366-01	4.214	0	4.333	5.399	4.275	5.767	5.893	6.094	0.4825	5.88	5.71	0
TCGA-GS-A9TV-01	TCGA-GS-A9TV-01	4.213	0.5005	4.188	5.131	4.122	5.371	5.46	5.692	0.5983	5.562	5.431	0.1487
TCGA-EB-A4IS-01	TCGA-EB-A4IS-01	4.212	0.3083	4.286	5.35	4.274	5.359	5.65	5.915	0.2994	5.657	5.497	0.1763
TCGA-VD-A8KE-01	TCGA-VD-A8KE-01	4.212	0	4.151	4.881	3.85	5.288	5.34	5.404	0.0774	5.38	5.37	0
TCGA-43-8116-01	TCGA-43-8116-01	4.212	0	4.119	5.306	4.142	5.345	5.493	5.736	0.5926	5.518	5.461	0
TCGA-VQ-AA6K-01	TCGA-VQ-AA6K-01	4.211	0.7295	3.925	4.946	3.979	5.607	5.492	5.741	1.383	5.418	4.995	0.0624
TCGA-78-7160-01	TCGA-78-7160-01	4.211	0	4.227	5.112	4.054	5.369	5.591	5.888	0.4321	5.7	5.608	0
TCGA-CS-6668-01	TCGA-CS-6668-01	4.21	0.1779	4.263	5.301	4.092	5.381	5.461	5.694	0.0715	5.476	5.03	0.3308
TCGA-IG-A50L-01	TCGA-IG-A50L-01	4.21	0.129	4.153	5.145	4.254	5.807	5.722	5.918	0.7862	5.738	5.049	0.0858
TCGA-GV-A3JW-01	TCGA-GV-A3JW-01	4.209	0.6376	4.532	5.599	4.496	5.702	5.953	6.217	1.226	5.966	5.855	0.0757
TCGA-VS-A9UR-01	TCGA-VS-A9UR-01	4.209	0.251	4.269	5.274	4.224	5.45	5.679	5.838	0	5.632	5.291	0.1692
TCGA-CG-4305-01	TCGA-CG-4305-01	4.209	0.0956	4.352	5.185	3.802	5.256	5.222	5.58	1.374	5.65	4.89	0
TCGA-CR-6473-01	TCGA-CR-6473-01	4.208	0.5063	4.221	5.261	4.182	5.535	5.627	5.898	0.091	5.627	5.397	0
TCGA-A6-5665-01	TCGA-A6-5665-01	4.208	0	4.354	5.417	4.347	5.771	5.931	6.197	0.4806	6.027	6.243	0.0526
TCGA-BH-A1FJ-01	TCGA-BH-A1FJ-01	4.207	0.2201	4.416	5.34	4.13	5.735	5.884	6.175	0.4676	5.892	5.721	0
TCGA-X7-A8DE-01	TCGA-X7-A8DE-01	4.207	0.1729	4.012	4.929	3.858	5.482	5.638	5.948	1.642	5.76	5.941	0
TCGA-ZC-AAAA-01	TCGA-ZC-AAAA-01	4.206	0.135	4.071	4.757	3.832	5.199	5.526	5.773	0.8154	5.631	5.851	0
TCGA-06-0644-01	TCGA-06-0644-01	4.205	0.1012	4.572	5.181	4.06	5.645	5.595	6.025	0.1538	5.713	5.259	0
TCGA-E2-A10A-01	TCGA-E2-A10A-01	4.204	0.1737	4.578	5.52	4.28	5.81	5.987	6.198	0.2609	5.845	5.872	0.0784
TCGA-AA-3509-01	TCGA-AA-3509-01	4.204	0.11	4.384	5.494	4.412	5.681	5.76	6.096	0.5156	5.88	5.686	0.049
TCGA-AB-2839-03	TCGA-AB-2839-03	4.203	1.096	4.156	4.989	4.036	5.681	5.434	5.962	2.463	5.815	5.151	0.1688
TCGA-VD-AA8M-01	TCGA-VD-AA8M-01	4.203	0.1191	4.084	4.79	3.685	4.997	5.037	5.244	0.0931	5.107	4.932	0
TCGA-AB-2942-03	TCGA-AB-2942-03	4.202	0.9096	3.783	4.761	3.869	5.492	5.231	5.556	2.408	5.579	5.162	0.253
TCGA-06-2562-01	TCGA-06-2562-01	4.202	0.6936	4.54	5.3	4.006	5.811	5.748	6.102	0.1629	5.82	5.438	0.4188
TCGA-G4-6297-01	TCGA-G4-6297-01	4.201	0.2288	4.381	5.406	4.183	5.536	5.647	5.918	0.5517	5.609	5.525	0
TCGA-4X-A9FB-01	TCGA-4X-A9FB-01	4.201	0.1727	4.162	5.077	4.149	5.632	5.787	6.135	1.64	5.841	6.08	0.0395
TCGA-36-1569-01	TCGA-36-1569-01	4.201	0.114	4.189	4.986	3.783	5.234	5.095	5.296	0.3988	5.182	4.576	0.0509
TCGA-3G-AB0O-01	TCGA-3G-AB0O-01	4.201	0	4.006	4.851	3.883	5.406	5.562	5.813	0.6428	5.639	6.286	0.0559
TCGA-AB-2853-03	TCGA-AB-2853-03	4.2	1.801	3.941	4.847	3.903	5.675	5.527	6.053	3.306	5.766	5.598	0.3314
TCGA-AR-A2LO-01	TCGA-AR-A2LO-01	4.2	0.3765	4.521	5.497	4.404	5.629	5.897	6.273	0.3872	6.003	5.682	0
TCGA-VR-A8EW-01	TCGA-VR-A8EW-01	4.2	0.2514	4.378	5.231	3.946	5.563	5.653	5.836	0.7343	5.466	4.795	0
TCGA-CR-7397-01	TCGA-CR-7397-01	4.2	0	4.337	5.246	4.028	5.378	5.326	5.62	0.0826	5.425	5.145	0
TCGA-32-2638-01	TCGA-32-2638-01	4.199	0	4.576	5.212	4.075	5.73	5.498	5.911	0.2666	5.649	5.162	0.0802
TCGA-BF-A1PV-01	TCGA-BF-A1PV-01	4.199	0	4.441	5.496	4.294	5.478	5.728	5.988	0.2435	5.728	5.492	0
TCGA-AC-A23H-01	TCGA-AC-A23H-01	4.199	0	4.391	5.282	4.029	5.403	5.622	5.868	0.6509	5.667	5.558	0.0327
TCGA-AF-A56L-01	TCGA-AF-A56L-01	4.198	0	4.122	5.004	3.921	5.404	5.46	5.779	0.139	5.603	5.587	0.0406
TCGA-38-4630-01	TCGA-38-4630-01	4.197	0.1625	4.279	5.243	4.092	5.429	5.657	5.973	0.3871	5.679	5.495	0.0732
TCGA-DK-A1AA-01	TCGA-DK-A1AA-01	4.197	0.1479	4.237	5.089	3.922	5.373	5.567	5.754	0.9722	5.646	5.978	0.0336
TCGA-LD-A7W6-01	TCGA-LD-A7W6-01	4.197	0.1047	4.199	4.841	3.766	5.179	5.213	5.554	0.7146	5.305	5.076	0.0466
TCGA-EX-A8YF-01	TCGA-EX-A8YF-01	4.196	0.351	4.086	4.917	3.915	5.032	5.305	5.621	0.279	5.371	5.261	0
TCGA-EE-A2GN-06	TCGA-EE-A2GN-06	4.196	0.1528	4.663	5.728	4.484	5.815	5.988	6.361	0.0611	6.022	5.51	0.1343
TCGA-DB-5281-01	TCGA-DB-5281-01	4.195	0	4.4	5.355	4.104	5.463	5.491	5.869	0.1658	5.645	5.264	0.0645
TCGA-AB-2866-03	TCGA-AB-2866-03	4.194	0.341	4.2	5.191	4.124	5.89	5.793	5.981	2.966	5.812	5.075	0.0816
TCGA-AH-6549-01	TCGA-AH-6549-01	4.194	0.1484	4.487	5.21	4.028	5.259	5.433	5.873	0.5884	5.672	5.542	0.0337
TCGA-DM-A1DA-01	TCGA-DM-A1DA-01	4.194	0	4.194	5.371	4.368	5.695	5.927	6.143	0.3383	5.982	6.411	0.0354
TCGA-LN-A4A2-01	TCGA-LN-A4A2-01	4.192	0.234	4.31	5.406	4.308	5.795	5.721	5.985	0.4085	5.715	4.884	0
TCGA-EE-A3AB-06	TCGA-EE-A3AB-06	4.191	0.2176	4.538	5.633	4.551	5.905	6.028	6.395	0.3953	6.141	5.989	0
TCGA-LL-A5YP-01	TCGA-LL-A5YP-01	4.191	0.1101	4.152	5.352	4.261	5.531	5.738	6.014	0.4527	5.825	5.868	0
TCGA-HC-7077-01	TCGA-HC-7077-01	4.191	0	3.939	5.181	4.038	5.273	5.48	5.764	0	5.472	5.537	0
TCGA-06-2563-01	TCGA-06-2563-01	4.19	1.012	4.708	5.471	4.339	5.973	5.776	6.17	0.3363	5.803	5.51	0.4541
TCGA-43-7656-01	TCGA-43-7656-01	4.19	0.2541	4.321	5.078	3.91	5.501	5.745	5.955	0.9958	5.845	5.604	0.0786
TCGA-XU-AAXW-01	TCGA-XU-AAXW-01	4.189	0.5225	3.979	4.824	3.819	5.153	5.309	5.483	1.63	5.407	5.682	0.2515
TCGA-60-2710-01	TCGA-60-2710-01	4.188	0.2775	4.313	5.48	4.282	5.471	5.608	5.848	0.5378	5.568	5.12	0.033
TCGA-S9-A6WM-01	TCGA-S9-A6WM-01	4.187	0.596	4.171	4.68	3.705	5.184	5.447	5.627	0.2122	5.448	5.385	0.063
TCGA-AO-A03O-01	TCGA-AO-A03O-01	4.187	0.3176	4.433	5.006	3.787	5.693	5.601	5.892	0.1727	5.574	5.195	0
TCGA-VQ-AA6A-01	TCGA-VQ-AA6A-01	4.187	0.1971	3.971	4.913	3.951	5.459	5.334	5.423	0.4624	5.143	4.322	0
TCGA-BR-7715-01	TCGA-BR-7715-01	4.187	0	4.502	5.532	4.042	5.539	5.49	5.73	0.3828	5.42	4.851	0.0801
TCGA-AB-2834-03	TCGA-AB-2834-03	4.186	1.939	3.818	5.1	4.095	5.758	5.563	6.129	3.11	5.703	5.595	0.1607
TCGA-AB-2975-03	TCGA-AB-2975-03	4.185	0.5535	3.757	4.862	3.898	5.549	5.475	5.776	2.317	5.676	5.319	0.0949
